rsu_id,public_key_hex,private_key_hex,cert_sig_hex,ctrl_shared_key_hex
11,53fe660c0c45c2cde975a2685f579ff557957d87464191af80fe656d2477ec2a3a6457aa805cba40b7686ea9d5196ce9742fb147dedc309aa7c184303e41f262,12909860ee0ea1b442b44c1d54f62478daaa86d1f9d795b0f357d2e2336633cc,5fb6a1a8eddecb99a49a2e8b741df6cd082030f0ac49cb85bbc0b4b1cf7609465b4b7c1e100585d69341d1778ec571d4779af8b33b84997f23b16e4aa37973bf,d9644ddb82ca7f48884958d1291549fb42a016704e5f57cddedddf6ccbac8830
12,7892607985238ae1d15264c478173727087da233894e4d61ac8fffecee15e78df0de164350bb4ae21e7dfe6b11f41553dca55dd97827fe62bed158cf2895b878,55f44c22f52022ca90355ebbe7b9c45d2a4606289bd86c0135c693d9583f0397,cb57c65afc84361fefb50dbbd486235a8ecad92e6addac24b031df54106154c213c73ffb31a59313e25ea3ee3eed7e1fdcaa687e0cf1805300c2c544a1e762a4,99550c9d1b005a7cdde2d7234d89f761261c479b247b36053809ab870704de27
13,ed25a92d8fcc98aabc8f97235475c08e606f07355903d8fe602d1ba06771aa804908c9ea9a195d0f25bb1fd7462b8f741dd845ac1a09c709ff8d8fabf180340c,074b5e311e2b858e0c5d8c9ba4a2d20415084c7ed9adc0c9c6df39368d2093c2,bc1f8a0630740ed3b2c01b7f52bfe088ed1f9f7229a84539fedacf261e2a3af9771892b4cb13137e2c2ee4b328b7ae6132f867adba19db79079fdeae3232c680,9f5e15736c0a6abe8bd7b08bf1b2ab9ace7414e76cd4e90f2a1fbde56ebe324b
14,4e9392bb4aa10096c5db14f9658ffab4e22f02edcbc51413d3c156d46c948a6b2a66b295ef44d28224e70bf2e6a8c0b937e7764716774ac3c26511350ed829b6,7b1e0a14b08cd27ff47aa21c88e42846bef963dcf35b3e73529626f7d68c98be,1b988752a79b0c4bc816827ae820bc83f0e5fc35913e6b0e0d9425e66dd3fa9d6af4d62afe7e4c9c5cbe771d92ed522c8e0bcd3a76aff4854236b4557eb7333f,df6cafb2d47846bab5dff48fa9c5bd9755a9cc487f2cc93b93b1b4b54c2f053e
15,e1508bfab46be785344591338baf302313e60be00c7094bee06ed0964cff89b8018e222b64c570cd69e97611b93e80fe1a4494d16c18b595d08ae04fc96f5dc4,0fe401dadd46119f237a1657b5c5fc09cc029e090387478f2a9ce2abb7089d96,991192aabe8ecbdecd70a23128f00ee4c2d6d678c9c6995dfea3eb0f2972093717fcec8a1f2eeed5d3765857bac36772387df5de477b9275bddbfebbb4dff30c,70d5062dd2fad9ab6916235eeb144ec73775c54554f0ca09e12cc59d9307be7e
16,ab2aed3aea88c3b732c57079012f566ffd5afa5462e7884f61f6c99f6b53e142d9160f4cb316a470ef09163808a44fdf043dbb1c1210f8501159dc60392e8de8,13ae793417c8f4552e5b779f4c79b35c357736cd36c7c324ac2912f6c36f844b,4cd99137150e0ff29fb2232ddc1c83e5d7b92e02ceee733486992c2e34b569d3dcffa72cf786cf7487c107743a244b001b61cbc3e732594d1438f542d933c057,e6168c0eb6475b4dee7ea1977c80fe6ec66426500afebf3f439848bc685280bb
17,6314f86d21d54fe391a8cbfb8f9d916bb42932e9de08b9ca723f7dbc571f2067d530cc9ea780c95f3b9d30752146a637d74b47c5b59214108d4119aec2410e02,aa6aa8daceabe6d3b700745f6f304886a78063baa9ac40f4abbe25d300a8c872,7fb63e468bf1d99819213ef034a2591426776783b8a07e1b128fde6dee7d081d8c453dd8647d512ce57c6a7b69fc0b0f3b1cfd3ff46925a767b8c8f9c15c737e,933e47c529219deb08715c02bc88c29917a803decd475e7682e954db92f2f5a6
18,7f274e143a4cd145d05eb8f264413599e9e7fec2d8e5c3d9107ca65ace814bc1831a3475bd7bf110d1d82b367fc93296be2114e5ad98e0c7c80eb21e008d85c2,2eb597bc89d84a89bc042196120552a54f2cec0ac2c59a8bb6a5d621fe5d9f88,32048b3bc2b7483c004c721d4b71d25e868785fe803ae31a9a860ff82f3121be2d4037c510e0556d686f44616422e82c575168e482f231ab3b0535fa69c92f6a,ab05258b52a4cd17538fa7d7a96a00f09380319164c89b9d398cf477d97f51ba
19,16ea10914c6cf848273303c6c67ebef8d29b37be60d38cdf6fb92e68b2674d93a885e9aee7b8b85f67c1e23325a54a47c3fb769db3e844998fe71bc0c3f63574,9fe83ef5bbeea5ef64311ee48ee50e8eedf19d45ac45f8116f09d27e4d2857e0,14b234ba32cb01a0df992cf894c7ddef76d45fff91a19bf0f342d3ecb9d47c467bb3c650391380fc7ab1173cc5cffe12028ae6ba21cea68f14c569f5072b6a9f,d8bbf20eed4f9a5ad85096b27e5dbbd0a81aced51b5d8f1ed440a23ac594435e
20,14ad7fa0fcd7e1011dcb1ef1fbc37db294a033c6d6f8b2bc4801f469e18449dcc4656850930d156546612ec70b19fb8cd91a14cd5bc61803743e79308a6280d2,a625748944ab658cce3d0eedcf103d52acb78ece74b2d8c07d13334444de3d13,ca9deb94bdc48df453cc81bfc93d78a44e6bef33e24af0d09c8b28c80589b615dae6732c525761436a3c5fb4e4971f1e00cf7eda8ad5b78c4c494bf7444e84e3,bb79f8bf61e4bab54121c31c5893d6572dd0713d352648d2f88b85e5071a6044
21,340adced0e7fcf65f984de0e7782b48e81c9245391bebdc9a7a8234b9366d6cb040f32b2febab5199a6e5ae4e4cfc8503398890e8adf2ebd7fe03c8b65cd2929,938c78667ccb586d6343535d31fc9b39911b1ccbe8d9f1b1395d9a24cb726a0a,a229c767ac654bacfdcbd7bbc63f614f131af86415671c46d5b8111dad84301cf59d745d9ad6d2442b3d4cb40ac0e2fa56208d9788c3c1371c3610d369b58419,d62da5da64393ba6cf20ac6b78d5396608a65df7f4fffaa843aa584aeb241ff8
22,845b4b86a23ea1c13f96ffe5f0e69261e720bf4aa00f0746b2381fa5623207021089662a364ccc7dfc3dae6759cd72802b65e282348f0a68e6344cfb0feb0f27,8ea0247561a5e0314aa3d0e4e2800cc3ceaf6ed1783313e9cdb57a8499fb5c33,590065948b18319dcba55e93c12de28c8c5d5b304d0c049428d89093d305e05c9f3bec95b228396117f8c3027ac9e10f005046a2e273f08113aa0534b6f9c0bf,6ab20d4881a52d6fd42824d529fd6454a74fc41c17fe6085bf2bd377d8ce0b16
